uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
995170	|	736027	|	Eustrongylides sp. 62 XF-2009	|	species	|	ncbi:756564	|	Eustrongylides sp. 62 XF-2009 (ncbi:756564)	|		|	
995169	|	736027	|	Eustrongylides sp. 63 XF-2009	|	species	|	ncbi:756565	|	Eustrongylides sp. 63 XF-2009 (ncbi:756565)	|		|	
995168	|	736027	|	Eustrongylides sp. 64 XF-2009	|	species	|	ncbi:756566	|	Eustrongylides sp. 64 XF-2009 (ncbi:756566)	|		|	
995167	|	736027	|	Eustrongylides sp. 65 XF-2009	|	species	|	ncbi:756567	|	Eustrongylides sp. 65 XF-2009 (ncbi:756567)	|		|	
995166	|	736027	|	Eustrongylides sp. 66 XF-2009	|	species	|	ncbi:756568	|	Eustrongylides sp. 66 XF-2009 (ncbi:756568)	|		|	
995165	|	736027	|	Eustrongylides sp. 67 XF-2009	|	species	|	ncbi:756569	|	Eustrongylides sp. 67 XF-2009 (ncbi:756569)	|		|	
943901	|	736027	|	Eustrongylides sp. 1 XF-2009	|	species	|	ncbi:756506	|	Eustrongylides sp. 1 XF-2009 (ncbi:756506)	|		|	
943900	|	736027	|	Eustrongylides sp. 10 XF-2009	|	species	|	ncbi:756507	|	Eustrongylides sp. 10 XF-2009 (ncbi:756507)	|		|	
943887	|	736027	|	Eustrongylides sp. 11 XF-2009	|	species	|	ncbi:756508	|	Eustrongylides sp. 11 XF-2009 (ncbi:756508)	|		|	
943886	|	736027	|	Eustrongylides sp. 12 XF-2009	|	species	|	ncbi:756509	|	Eustrongylides sp. 12 XF-2009 (ncbi:756509)	|		|	
893116	|	736027	|	Eustrongylides sp. 3 XF-2009	|	species	|	ncbi:756528	|	Eustrongylides sp. 3 XF-2009 (ncbi:756528)	|		|	
893115	|	736027	|	Eustrongylides sp. 30 XF-2009	|	species	|	ncbi:756529	|	Eustrongylides sp. 30 XF-2009 (ncbi:756529)	|		|	
893114	|	736027	|	Eustrongylides sp. 26 XF-2009	|	species	|	ncbi:756524	|	Eustrongylides sp. 26 XF-2009 (ncbi:756524)	|		|	
893113	|	736027	|	Eustrongylides sp. 27 XF-2009	|	species	|	ncbi:756525	|	Eustrongylides sp. 27 XF-2009 (ncbi:756525)	|		|	
893112	|	736027	|	Eustrongylides sp. 28 XF-2009	|	species	|	ncbi:756526	|	Eustrongylides sp. 28 XF-2009 (ncbi:756526)	|		|	
893111	|	736027	|	Eustrongylides sp. 29 XF-2009	|	species	|	ncbi:756527	|	Eustrongylides sp. 29 XF-2009 (ncbi:756527)	|		|	
893110	|	736027	|	Eustrongylides sp. 22 XF-2009	|	species	|	ncbi:756520	|	Eustrongylides sp. 22 XF-2009 (ncbi:756520)	|		|	
893109	|	736027	|	Eustrongylides sp. 23 XF-2009	|	species	|	ncbi:756521	|	Eustrongylides sp. 23 XF-2009 (ncbi:756521)	|		|	
893108	|	736027	|	Eustrongylides sp. 24 XF-2009	|	species	|	ncbi:756522	|	Eustrongylides sp. 24 XF-2009 (ncbi:756522)	|		|	
893107	|	736027	|	Eustrongylides sp. 25 XF-2009	|	species	|	ncbi:756523	|	Eustrongylides sp. 25 XF-2009 (ncbi:756523)	|		|	
741096	|	736027	|	Eustrongylides sp. 9 XF-2009	|	species	|	ncbi:756586	|	Eustrongylides sp. 9 XF-2009 (ncbi:756586)	|		|	
741092	|	736027	|	Eustrongylides sp. 80 XF-2009	|	species	|	ncbi:756584	|	Eustrongylides sp. 80 XF-2009 (ncbi:756584)	|		|	
741091	|	736027	|	Eustrongylides sp. 81 XF-2009	|	species	|	ncbi:756585	|	Eustrongylides sp. 81 XF-2009 (ncbi:756585)	|		|	
741090	|	736027	|	Eustrongylides sp. 79 XF-2009	|	species	|	ncbi:756582	|	Eustrongylides sp. 79 XF-2009 (ncbi:756582)	|		|	
741089	|	736027	|	Eustrongylides sp. 8 XF-2009	|	species	|	ncbi:756583	|	Eustrongylides sp. 8 XF-2009 (ncbi:756583)	|		|	
557116	|	736027	|	Eustrongylides sp. WAKA-25	|	species	|	ncbi:759679	|	Eustrongylides sp. WAKA-25 (ncbi:759679)	|		|	
521933	|	736027	|	Eustrongylides ignotus	|	species	|	ncbi:513048	|		|		|	
518889	|	736027	|	Eustrongylides sp. 58 XF-2009	|	species	|	ncbi:756559	|	Eustrongylides sp. 58 XF-2009 (ncbi:756559)	|		|	
